Name,Description,List,Labels
Emails transactionnels réels (Resend),"Créer une clé Resend + domaine expéditeur vérifié, renseigner RESEND_API_KEY. Sans clé, les emails sont journalisés (suffisant pour la démo).",Backlog,Back
Tests automatisés des fronts (Vitest + Testing Library),"Le backend a 191 tests ; client et back-office n'en ont pas. Ajouter Vitest + Testing Library / MSW sur les parcours clés (commande, connexion, filtres).",Backlog,Qualité
Nom de domaine personnalisé (optionnel),"Brancher un domaine type viteetgourmand.fr sur le client Render au lieu de *.onrender.com.",Backlog,DevOps
Passer le dépôt GitHub en PUBLIC,"L'ECF exige un dépôt public. GitHub → Settings → General → Change repository visibility → Public. URL : github.com/ya5inq/vite-et-gourmand.",To do,Docs
Créer le board Trello et renseigner le lien,"Reporter ce backlog dans Trello, rendre le board visible, ajouter le lien aux livrables.",To do,Docs
Manuel d'utilisation (PDF),"Présenter l'application et donner les identifiants pour chaque parcours (visiteur, client, employé, admin). Base : DEMO.md + captures. Admin démo : admin@viteetgourmand.fr / password123.",To do,Docs
Maquettes — 3 bureautiques + 3 mobiles,"Exporter wireframes & mockups (Figma ou équivalent) pour la charte graphique. Palette/police réelles dans docs/CHARTE_GRAPHIQUE.md.",To do,Design
Convertir les docs .md en PDF pour la remise,"Exporter MCD, diagrammes, doc technique, charte, gestion de projet en PDF (les diagrammes Mermaid se rendent sur GitHub / via export).",To do,Docs
Audit RGAA interactif final,"Passer axe / Lighthouse / WAVE sur l'app déployée et corriger les écarts restants. Audit statique déjà fait (docs/ACCESSIBILITE_RGAA.md).",To do,Qualité
Finalisation des livrables ECF,"Rassembler dépôt public + URLs déployées + PDF (manuel, technique, charte, gestion de projet) + lien Trello dans le dossier de rendu.",In progress,Docs
Analyse des besoins (cahier des charges),"Dépouillement du sujet : parcours visiteur/client/employé/admin, règles métier (livraison, réduction 10 %, pénalité matériel 600 €).",Done,Analyse
Modèle Conceptuel de Données (MCD),"Schéma relationnel (18 tables) + collections MongoDB. docs/technique/MCD.md.",Done,Analyse
Diagrammes de cas d'usage & de séquence,"Cas d'utilisation + séquences (commande, cycle de statut, machine à états). docs/technique/DIAGRAMMES.md.",Done,Analyse
Charte graphique (palette + polices),"Palette de couleurs + polices (thème Tailwind réel). docs/CHARTE_GRAPHIQUE.md.",Done,Design
Réflexions technologiques & configuration de l'environnement,"Choix de stack justifiés + setup du poste de dev. docs/technique/DOCUMENTATION_TECHNIQUE.md.",Done,Analyse
Base relationnelle PostgreSQL (TypeORM + migrations),"18 tables, migrations, contraintes et relations.",Done,BDD
Base NoSQL MongoDB (statistiques),"Statistiques commandes par menu + chiffre d'affaires (base non relationnelle exigée par le sujet).",Done,BDD
Fichiers SQL (schéma + seed),"docs/database/schema.sql + seed.sql, rechargeables sans erreur sur base vierge.",Done,BDD
Jeu de données de démonstration (fixtures),"14 allergènes, 7 régimes, 26 plats, 8 menus, 8 zones, contenus CMS, admin, commandes de démo. Idempotent (TRUNCATE + réinsertion).",Done,BDD
API Hono + Clean Architecture (Inversify),"Endpoints public / protected / admin, validation Zod, OpenAPI.",Done,Back
Authentification JWT + refresh (cookie httpOnly),"Inscription, connexion, mot de passe oublié/réinitialisation, rôles (utilisateur / employé / admin).",Done,Back
Gestion des commandes & cycle de statut,"Création (invité + client), machine à états (accepté → en préparation → livraison → livré → retour matériel → terminée), motif d'annulation.",Done,Back
Règles métier livraison & tarification,"Frais 5 € + 0,59 €/km hors Bordeaux, réduction 10 % dès +5 personnes, minimum de personnes par menu.",Done,Back
Statistiques admin (MongoDB),"Commandes par menu + CA par menu avec filtres (menu, durée).",Done,Back
SDK TypeScript généré (Orval),"SDK typé (axios + zod) généré depuis l'OpenAPI, consommé par les deux fronts.",Done,Back
Emails transactionnels (templates),"Bienvenue, réinit. mot de passe, compte employé, confirmation de commande, retour/pénalité matériel, avis. Journalisés à défaut de clé Resend.",Done,Back
Front client — Page d'accueil,"Présentation entreprise, professionnalisme de l'équipe, avis clients validés.",Done,Front
Front client — Vue globale des menus + filtres dynamiques,"Filtres prix max, fourchette, thème, régime, nombre de personnes — sans rechargement.",Done,Front
Front client — Vue détaillée d'un menu,"Tous les éléments du menu + conditions mises en évidence + bouton commander (pré-remplissage).",Done,Front
Front client — Création de compte & connexion,"Inscription (mot de passe 10+ car., règles), connexion, mot de passe oublié.",Done,Front
Front client — Tunnel de commande,"Infos prestation (auto-remplies si connecté), zone de livraison, date, nombre de personnes, récap prix (menu + livraison) avant validation.",Done,Front
Front client — Espace utilisateur,"Historique des commandes, détail, modification/annulation (avant acceptation), suivi de statut, dépôt d'avis (note 1–5 + commentaire).",Done,Front
Front client — Page de contact,"Formulaire (titre, description, email) envoyé à l'entreprise.",Done,Front
Front client — Pied de page + pages légales,"Horaires (lun→dim), mentions légales, CGV, politique de confidentialité.",Done,Front
Back-office — Espace employé,"Gestion menus/plats/horaires, filtre commandes par statut/client, mise à jour des statuts (contact client obligatoire avant annulation), validation/refus des avis.",Done,Front
Back-office — Espace administrateur,"Tout ce que fait l'employé + création/désactivation de comptes employés, statistiques (graphique commandes par menu, CA par menu/durée).",Done,Front
Back-office — Gestion de contenu (CMS),"Édition des contenus des pages (accueil, menus, contact, footer, légal) depuis le back-office.",Done,Front
Conformité RGPD,"Mentions légales, CGV, politique de confidentialité (responsable, finalités + bases légales, durées, sous-traitants, droits + CNIL).",Done,Qualité
Accessibilité RGAA (audit statique + corrections),"Alternatives d'images, aria-* icônes/dialog/notation, hiérarchie des titres, focus visible. docs/ACCESSIBILITE_RGAA.md.",Done,Qualité
"Restauration typographie FR (accents, €, apostrophes)","Correction de tous les textes (fixtures, CMS, légal, UI client & back-office, emails) — 66 fichiers, cohérence référentielle vérifiée.",Done,Qualité
Intégration continue (GitHub Actions),"lint + typecheck + tests backend à chaque push. .github/workflows/ci.yml.",Done,DevOps
Dockerisation (prod),"Dockerfiles backend / client Next standalone / back-office + docker-compose.prod.yml.",Done,DevOps
Infrastructure as Code (render.yaml),"Blueprint Render décrivant les 4 services, région Frankfurt (UE).",Done,DevOps
Déploiement en ligne (Render + MongoDB Atlas),"Backend, PostgreSQL, client, back-office sur Render (free) + MongoDB Atlas M0. client https://veg-client-kr9d.onrender.com · back-office https://veg-back-office.onrender.com · API https://veg-backend-ooky.onrender.com/api/doc.",Done,DevOps
Correctifs de déploiement,"Fix build back-office (corepack/EROFS + Node 20), CORS (URLs complètes), région Frankfurt, seed via URL externe (Shell indispo en gratuit). docs/DEPLOYMENT_RENDER.md.",Done,DevOps
Anti-veille (UptimeRobot),"2 moniteurs HTTP (backend + client) toutes les 5 min pour éviter la mise en veille des services gratuits.",Done,DevOps
Chargement des données en production (seed),"Exécution de setup.ts sur la base Render via l'External Database URL (SSL requis). Données accentuées vérifiées via l'API.",Done,BDD
Dépôt Git avec bonnes pratiques,"Branches main / develop + une branche par feature mergée dans develop. Poussé sur GitHub.",Done,Docs
README (démarrage local),"Procédure d'installation et de lancement en local.",Done,Docs
Documentation de gestion de projet,"Méthodologie, backlog des phases, workflow Git. docs/GESTION_DE_PROJET.md.",Done,Docs
Documentation technique & de déploiement,"Doc technique, MCD, diagrammes, déploiement Docker + Render. docs/technique/ + docs/DEPLOYMENT*.md.",Done,Docs
